Episode #,Title,Guest(s),Date,Duration,Topics,Description
1,"Alice Lascelles - The Martini, Journalism, Non-Alc, Tea Competitions, Drinks Trends",Alice Lascelles,2024-11-24,,Martini; journalism; non-alcoholic; tea; drinks trends,
2,Charles Spence - The Multisensory Science of Flavour,Charles Spence,2024-12-02,,multisensory science; flavour; psychology; perception,
3,"Ian Burrell - Rum Classification, Controversy, Spiced Rum, Origin Stories, Bars",Ian Burrell,2024-12-09,,rum classification; spiced rum; origin stories; bars,
4,"Sean Finter - The Hospitality Business, Succeeding, Sustainability, Motivation",Sean Finter,2024-12-16,,hospitality business; success; sustainability; motivation,
5,"Colin Dunn - Japanese Whisky, Islay, 19m casks, Brora, Port Ellen",Colin Dunn,2024-12-23,,Japanese whisky; Islay; rare casks; Brora; Port Ellen,
6,"Arielle Johnson - Food Chemistry, Fermentation, Molecules, Evolution, NOMA",Arielle Johnson,2024-12-30,,food chemistry; fermentation; molecules; NOMA,
7,"Vikram Achanta - Indigenous Indian Spirits, Indian Bar Culture, Indian Whisky, Awards",Vikram Achanta,2025-01-06,,Indian spirits; Indian bar culture; Indian whisky; awards,
8,"Angus Winchester - 36 Years of Bars, Tanqueray Ambassador, Classic Cocktails, Ukraine",Angus Winchester,2025-01-13,,bar industry; Tanqueray; classic cocktails; Ukraine,
9,"Adrian Bridge - CEO of Taylor's Port, History, Challenges & Innovation, Port Tourism",Adrian Bridge,2025-01-20,,Taylor's Port; port wine; port history; innovation; tourism,
10,"Dr. Nick Wykes - Setting Goals, Motivation, Internal Dialogue & Perspective",Dr. Nick Wykes,2025-01-27,,goals; motivation; internal dialogue; perspective; psychology,
11,"Ryan Chetiyawardana - Mr Lyan, Language of Drinking, Magic of Bars, Fermentation, Top Whiskies, Sustainability",Ryan Chetiyawardana,2025-02-03,,Mr Lyan; bar philosophy; fermentation; whiskies; sustainability,
12,"Andreia Esteves - History of Drinking Vessels, Egypt, Wine, Greek Symposium, Poison",Andreia Esteves,2025-02-10,,drinking vessels; Egypt; wine history; Greek Symposium; poison,
13,"James Hoffmann - Coffee, Caffeine, World Barista Championships, Coffee Economics, YouTube",James Hoffmann,2025-02-17,,coffee; caffeine; World Barista Championships; coffee economics; YouTube,
14,"Antonio Amorim - How Corks Are Made, Cork Performance, Cork Taint, Sustainability",Antonio Amorim,2025-02-24,,corks; cork production; cork taint; sustainability,
15,"Salvatore Calabrese - The Maestro, Record Breaking Cocktails, Dukes Martini, Celebrity",Salvatore Calabrese,2025-03-03,,record cocktails; Dukes Martini; celebrity; cocktail history,
16,"Isabel Graham-Yooll - Whisky Detective, Counterfeits, Secondary Market, Valuation, Whisky Investment",Isabel Graham-Yooll,2025-03-10,,whisky detective; counterfeits; secondary market; valuation; whisky investment,
17,"Jack Stein - Rick Stein, Television, What Chefs Eat, Fishing Industry, Cornwall",Jack Stein,2025-03-17,,Rick Stein; television; chefs; fishing industry; Cornwall,
18,"Charles MacLean MBE - The Scotchfather, Writing, How To Taste, Favourite Drams, Luxury Scotch, Historic Whisky, Charity, Legacy",Charles MacLean MBE,2025-03-24,,Scotch whisky; whisky tasting; luxury Scotch; historic whisky; charity,
19,"Ian Stirling - Building a Vertical Distillery, Port of Leith, Fermentation, Regeneration, Sherry, Legacy",Ian Stirling,2025-03-31,,vertical distillery; Port of Leith; fermentation; sherry; regeneration,
20,"Lyndon Higginson - UK's Greatest Bar Entrepreneur, Dive Bars, Inspiration, Rum, Manchester",Lyndon Higginson,2025-04-07,,bar entrepreneurship; dive bars; rum; Manchester,
21,"Dawn Davies MW - Wine Masterclass: Regions, Varieties, Terroir, Biodynamic, Natural, Tasting, Closures, Storage, Enjoyment",Dawn Davies MW,2025-04-14,,wine masterclass; wine regions; terroir; biodynamic; natural wine; tasting,
22,"Alessandro Palazzi - Dukes Hotel, Martinis, Ian Fleming, 50 Years of Bartending",Alessandro Palazzi,2025-04-21,,Dukes Hotel; Martinis; Ian Fleming; bartending career,
23,"Jamie Baxter - 100+ Distilleries Built, How To Make Gin, Baijiu",Jamie Baxter,2025-04-28,,distillery design; gin production; baijiu,
24,"Jake Burger - Who/What is the Greatest Bartender, Bar, Cocktail Book & Cocktail Of All Time?",Jake Burger,2025-05-05,,greatest bartender; greatest bar; cocktail books; cocktail history,
25,"David Gluckman - Inventor of Bailey's, Tanqueray Ten, Smirnoff Black, The Singleton, etc. Innovation, Non-Alc, Design",David Gluckman,2025-05-12,,Bailey's; Tanqueray Ten; Smirnoff Black; The Singleton; innovation; non-alcoholic; design,
26,"Ed Hughes - Beer Sommelier, Beer Styles, Sharps Brewery",Ed Hughes,2025-05-19,,beer sommelier; beer styles; Sharps Brewery,
27,"Jaime Orendain - Tequila, Regulation, Family History, Tequila Arette Production, Agave Economics",Jaime Orendain,2025-05-26,,tequila; regulation; Tequila Arette; agave economics; family history,
28,"Jonathan Downey - Milk & Honey London, Sasha Petraske, Dick Bradsell, Success, Disaster, Street Feast, Vodka",Jonathan Downey,2025-06-02,,Milk & Honey; Sasha Petraske; Dick Bradsell; Street Feast; vodka,
29,"Desmond Payne MBE - Beefeater Master Distiller, 50 Years Making Gin, How To Make Gin, Gin Category",Desmond Payne MBE,2025-06-09,,Beefeater; gin distillation; 50 years; gin category,
30,"Luca Gargano - Godfather of Rum, Classification, Haiti, Caroni, Nomad Project, Velier",Luca Gargano,2025-06-16,,rum; classification; Haiti; Caroni; Nomad Project; Velier,
31,"Dr. Ivan Saldana - Agave Biology, Mezcal & Tequila Production, Lewis Hamilton, Lenny Kravitz, Mexican Whisky",Dr. Ivan Saldana,2025-06-23,,agave biology; mezcal; tequila; celebrity spirits; Mexican whisky,
32,"Kevin Armstrong - Satan's Whiskers, Drinks Knowledge, Match Bar Group, Cocktail Gripes, Awards",Kevin Armstrong,2025-06-30,,Satan's Whiskers; drinks knowledge; Match Bar Group; cocktail culture; awards,
33,"Professor David Mabberley - Citrus Fruit, The End of Citrus, History, Citrus Hybrids, Cultivation, Morphology, Medicine, Biology",Professor David Mabberley,2025-07-07,,citrus; citrus history; cultivation; biology; medicine; hybrids,
34,"Dr. Anastasia Miller & Jared Brown - Rewriting Gin History, G&Ts, History of Distillation, The Gin Craze, Female Distillers, London Dry Gin, Old Tom",Dr. Anastasia Miller; Jared Brown,2025-07-14,,gin history; G&T; distillation history; Gin Craze; female distillers; London Dry Gin; Old Tom,
35,"Francois Thibault - Creator of Grey Goose, Maitre de Chai, Vodka Market, How Vodka is Made, Wheat, France, Cognac",Francois Thibault,2025-07-21,,Grey Goose; vodka; Maitre de Chai; vodka production; wheat; France,
36,"Esteban Morales - Agave Spirits History, Mezcal, Raicilla, Challenges, Community, Tequila",Esteban Morales,2025-07-28,,agave spirits; mezcal; raicilla; tequila; community,
37,"Joy Spence - World's First Female Master Blender, Jamaica Rum, Appleton Estate, Rum Chemistry",Joy Spence,2025-08-04,,master blender; Jamaica rum; Appleton Estate; rum chemistry,
38,"Toby Cecchini - Inventing the Cosmopolitan, NYC Bars, Andy Warhol, Long Island Bar, Guest Shifts",Toby Cecchini,2025-08-11,,Cosmopolitan; NYC bars; Andy Warhol; Long Island Bar; guest shifts,
39,"Sandor Katz - How to Ferment, Koji, Sake, Lactic Acid Bacteria, Wild Fermentation, Kefir, Kombucha, Cultures",Sandor Katz,2025-08-18,,fermentation; koji; sake; lactic acid bacteria; wild fermentation; kefir; kombucha,
40,"Alexandre Gabriel - Planteray, Maison Ferrand, WIRD, How Cognac is Made, Jamaican Rum, Barbados, History, Brand Building",Alexandre Gabriel,2025-08-25,,Planteray; Maison Ferrand; cognac; Jamaican rum; Barbados; brand building,
41,"Dale DeGroff - King of Cocktails, Bars & Restaurants, Rainbow Room, Jazz, NYC History",Dale DeGroff,2025-09-01,,King of Cocktails; Rainbow Room; jazz; NYC history; bars and restaurants,
42,"Henrietta Lovell - Tea Masterclass, How To Brew Tea, Tea Agriculture, Economics, Communities, Rare Tea, Matcha",Henrietta Lovell,2025-09-08,,tea; brewing tea; tea agriculture; economics; rare tea; matcha,
43,"Nick Strangeway - Dick Bradsell, Martinis, Punches, Hawksmoor, Restaurant Bars, Hepple Gin, Absolut Craft, No Regrets Bar",Nick Strangeway,2025-09-15,,Dick Bradsell; Martinis; punches; Hawksmoor; Hepple Gin; restaurant bars,
44,"Dave Broom - Whisky Writing, World Whisky, Terroir in Spirits, Culture, The Whisky Market, Best Dram",Dave Broom,2025-09-22,,whisky writing; world whisky; terroir in spirits; whisky market,
45,"Richard Hart - Sourdough, Bread Culture, Cereals, Copenhagen, Perfection, Sandwiches, Mexico City, Green Rhino",Richard Hart,2025-09-29,,sourdough; bread culture; cereals; Copenhagen; sandwiches,
46,"Megs Miller - Agave Spirits Exploration, Terpenes for Mood Enhancement, Sotol, Mezcal, Salon de Agave, Durango",Megs Miller,2025-10-06,,agave spirits; terpenes; sotol; mezcal; Salon de Agave; Durango,
47,"Charles Denby - Future of Brewing, Yeast Genetics, Brewing 0% ABV Beer, Beer for Health",Charles Denby,2025-10-13,,brewing; yeast genetics; 0% ABV beer; beer for health,
48,"Lance Winters - St George Spirits, Eau de Vie, Gin, Absinthe, Whisky, Distillation, Provenance, Experimentation",Lance Winters,2025-10-20,,St George Spirits; eau de vie; gin; absinthe; whisky; distillation,
49,"Serge Valentin - Whisky Fun, Scoring Whisky, Brora & Clynelish, Independent Bottlers, Weird Whisky, Wine Casks, Maturation",Serge Valentin,2025-10-27,,whisky scoring; Brora; Clynelish; independent bottlers; wine casks; maturation,
50,"Dr. Harold McGee - Science of Food & Drink, Smell & Aroma, Foundations of Flavour, Tea, Writing",Dr. Harold McGee,2025-11-03,,food science; smell; aroma; flavour; tea; writing,
51,"Camper English - San Francisco Bars, Making Clear Ice, Alcohol as Medicine, Water Sommeliers",Camper English,2025-11-10,,San Francisco bars; clear ice; alcohol as medicine; water sommeliers,
52,"Jota Tanaka - Japanese Whisky, History, Fuji Gotemba, Four Roses, Distillation, Mizunara",Jota Tanaka,2025-11-17,,Japanese whisky; Fuji Gotemba; Four Roses; distillation; Mizunara,
53,"Jeffrey Morgenthaler - Writing & Educating, Clyde Common, 50 Best Bars, Trends, Cocktail Culture Old & New",Jeffrey Morgenthaler,2025-11-24,,cocktail writing; Clyde Common; 50 Best Bars; trends; cocktail culture,
54,"Richard Seale - Barbados Rum, Foursquare Distillery, Rum Distillation, Rum History, Rum Fermentation",Richard Seale,2025-12-01,,Barbados rum; Foursquare Distillery; rum distillation; rum history; fermentation,
55,"Dr. Johnny Drain - Hacking Flavour, Microbes, Food Systems, Gut Health, Chocolate without Cocoa, Future of Food",Dr. Johnny Drain,2025-12-08,1h 43m,flavour science; microbes; food systems; gut health; chocolate; future of food,"Materials scientist-turned-fermentation expert Dr. Johnny Drain explores flavor innovation through microbiology, food system transformation, and developing alternative protein-based products."
56,"Simon Difford - Diffordsguide.com, CLASS Mag, 28 Years of Publishing, Influential Bars & Bartenders, London, Sauce Guides, Jiggers, Daiquiris",Simon Difford,2025-12-15,1h 23m 23s,Diffordsguide; CLASS Magazine; publishing; London bars; cocktail culture; daiquiris,"Publishing entrepreneur Simon Difford discusses nearly three decades creating Diffordsguide.com, CLASS Magazine, cocktail literature, influential London venues, and bartending culture evolution."
57,"Gabe Cook - How Cider is Made, Appreciating Cider, Cider History, Growing Apples, Cider Producers, English Cider, American Cider",Gabe Cook,2025-12-22,2h 0m 34s,cider production; cider history; apples; English cider; American cider; appreciation,"Cider expert Gabe Cook provides deep insights into cider production, appreciation methodologies, historical context, and regional variations across English and American cidermakers."
58,Best of 2025 - 12 Conversations that Shaped My Thinking,,2025-12-29,59m 3s,best of; year in review; highlights; 2025,A curated compilation highlighting twelve standout conversations from the year that significantly influenced the host's perspective.
59,"Remy Savage - Are Drinks Art? Bar Concepts, Philosophy of Creativity, AI in Hospitality, Designing Drinks, Motivation, Baguettes",Remy Savage,2026-01-05,2h 15m 47s,drinks as art; bar concepts; creativity; AI in hospitality; drink design; philosophy,"Bar conceptualist Remy Savage explores high-concept bar design, the philosophical intersection of drinks and art, creativity philosophy, and hospitality's future with emerging technologies."
60,"Will Hawkes - 500 Best Pubs, Pub History, Cask Ale, Craft Beer, Guinness",Will Hawkes,2026-01-12,1h 29m 7s,pubs; pub history; cask ale; craft beer; Guinness; British culture,"Beer and pub writer Will Hawkes discusses British pub culture's current state, pub history, cask ales, and the industry's evolution in the 2020s."
61,"Claire Warner - Non-Alc, Social Connection, Healthspan, Happiness, Dry January",Claire Warner,2026-01-19,1h 24m 53s,non-alcoholic; social connection; healthspan; happiness; Dry January,"Explores non-alcoholic beverages, social connection, health considerations, and the cultural phenomenon of reduced alcohol consumption."
62,"Peter Dorelli - Savoy Hotel, Being a Fugitive, Lessons from 65 Years, Harry Craddock, Retiring",Peter Dorelli,2026-01-26,2h 19m 51s,Savoy Hotel; American Bar; Harry Craddock; hospitality history; retirement; career,"Peter Dorelli, sixth head bartender at the American Bar at the Savoy, shares 65 years of hospitality experiences, including immigration challenges, legendary colleagues, and lessons from the industry's golden era."
63,"Sunny Hodge - Wine Cynicism, Debunking Terroir, Soil Science, Rootstocks, Wine Education, Diogenes The Dog, Cynicism",Sunny Hodge,2026-02-02,1h 39m 45s,wine; terroir; soil science; rootstocks; wine education; cynicism,"Wine author and bar owner Sunny Hodge takes a scientific approach to viticulture, examining soil composition, root biology, rootstocks, and challenging romantic wine narratives through technical explanations."
64,"Tom Dyer - Flair Bartending: History, Culture, Training, Competition, Legends of Flair",Tom Dyer,2026-02-10,1h 28m,flair bartending; competition; World Flair Association; bar magic; history,"Tom Dyer, founder of the World Flair Association and flair competition champion, chronicles flair's nearly 400-year history from TGI Fridays through modern competition, discussing training, bar magic, and contemporary innovators."
65,"Henry Jeffreys - Drinking the British Empire, Churchill, Fortified Wine, Bordeaux, Rum, Gin, Cider, Legendary Drinkers",Henry Jeffreys,2026-02-16,1h 27m 53s,British Empire; Churchill; fortified wine; Bordeaux; rum; gin; cider; history,"Drinks historian Henry Jeffreys explores how the British Empire shaped the way the world drinks, examining fortified wines, rum's naval history, gin culture, and misconceptions about Churchill's consumption habits."
66,"Julian & Matilda Temperley - Somerset Cider Brandy, Craft Distilling Since 1987, PGI, Apples, Agriculture",Julian Temperley; Matilda Temperley,2026-02-23,2h 7m 26s,Somerset Cider Brandy; craft distilling; PGI; apples; agriculture; cask aging,"The Temperley family, operating the UK's first independent distillery in living memory, share their four-decade journey reviving English apple spirits. Topics include licensing history, orchard management, distillation techniques, cask aging, and future development."
67,"Tom Oliver - Cider & Perry Making, Orchards, Varieties, Fermentation, Cider Appreciation, Herefordshire, Agriculture",Tom Oliver,2026-03-02,1h 42m 47s,cider; perry; orchards; fermentation; Herefordshire; agriculture; tasting,"Tom Oliver, a respected cider and perry maker, discusses the challenges of crafting quality perry, orchard management, wild fermentation, keeving processes, and regional distinctions. The episode includes tastings and explores cider as a wine alternative."
68,"Agostino Perrone - Connaught Bar, Creativity, Italian Hospitality, Career, Photography",Agostino Perrone,2026-03-09,1h 28m 54s,Connaught Bar; Italian hospitality; Martini Trolley; creativity; photography; career,"Agostino Perrone, Director of Mixology at London's acclaimed Connaught Bar, explores building lasting legacies in hospitality. The conversation covers Italian cultural influences on service, the famous Martini Trolley, balancing creativity with consistency, team leadership, and photography as personal meditation."
69,"Hannah & Siobhan - London Cocktail Week, The Pinnacle Guide, London, Community",Hannah Sharman-Cox; Siobhan Payne,2026-03-16,1h 20m 18s,London Cocktail Week; Pinnacle Guide; bar ratings; London cocktail scene; community; events,"Hannah Sharman-Cox and Siobhan Payne discuss their journey building London Cocktail Week over 16 years and creating the Pinnacle Guide, a Michelin-inspired rating system that awards one, two, or three pins to bars. Topics include relocating the event from October to March, the evolution of London's cocktail scene, and a new venture called Curate Your City."
